CustomerKey,GeographyKey,CustomerAlternateKey,Full_Name,BirthDate,Gender,EmailAddress,AddressLine1,Phone,City,StateProvinceName,Country
11029,32,AW00011029,Jimmy Moreno,1952-06-19,Male,jimmy9@adventure-works.com,6385 Mark Twain,1 (11) 500 555-0146,Bendigo,Victoria,Australia
11030,28,AW00011030,Bethany Yuan,1958-02-18,Female,bethany10@adventure-works.com,636 Vine Hill Way,1 (11) 500 555-0182,Cloverdale,South Australia,Australia
11031,8,AW00011031,Theresa Ramos,1953-02-18,Female,theresa13@adventure-works.com,6465 Detroit Ave.,1 (11) 500 555-0195,Matraville,New South Wales,Australia
11032,35,AW00011032,Denise Stone,1952-12-08,Female,denise10@adventure-works.com,626 Bentley Street,1 (11) 500 555-0169,Melbourne,Victoria,Australia
11033,9,AW00011033,Jaime Nath,1958-09-19,Male,jaime41@adventure-works.com,5927 Rainbow Dr,1 (11) 500 555-0137,Milsons Point,New South Wales,Australia
11034,12,AW00011034,Ebony Gonzalez,1952-12-16,Female,ebony19@adventure-works.com,5167 Condor Place,1 (11) 500 555-0136,North Sydney,New South Wales,Australia
11035,33,AW00011035,Wendy Dominguez,1953-08-23,Female,wendy12@adventure-works.com,1873 Mt. Whitney Dr,1 (11) 500 555-0177,Cranbourne,Victoria,Australia
11036,343,AW00011036,Jennifer Russell,1984-06-16,Female,jennifer93@adventure-works.com,3981 Augustine Drive,115-555-0183,National City,California,United States
11037,49,AW00011037,Chloe Garcia,1983-05-27,Female,chloe27@adventure-works.com,8915 Woodside Way,229-555-0112,Cliffside,British Columbia,Canada
11038,6,AW00011038,Diana Hernandez,1953-09-20,Female,diana2@adventure-works.com,8357 Sandy Cove Lane,1 (11) 500 555-0114,Lavender Bay,New South Wales,Australia
11039,19,AW00011039,Marc Martin,1954-06-16,Male,marc3@adventure-works.com,9353 Creekside Dr.,1 (11) 500 555-0183,Wollongong,New South Wales,Australia
11040,642,AW00011040,Jesse Murphy,1983-01-29,Male,jesse15@adventure-works.com,3350 Kingswood Circle,961-555-0176,Tacoma,Washington,United States
11041,325,AW00011041,Amanda Carter,1983-04-15,Female,amanda53@adventure-works.com,5826 Escobar,295-555-0145,Glendale,California,United States
11042,338,AW00011042,Megan Sanchez,1982-12-11,Female,megan28@adventure-works.com,1397 Paraiso Ct.,404-555-0199,Los Angeles,California,United States
11043,325,AW00011043,Nathan Simmons,1981-08-23,Male,nathan11@adventure-works.com,1170 Shaw Rd,296-555-0181,Glendale,California,United States
11044,25,AW00011044,Adam Flores,1954-11-21,Male,adam10@adventure-works.com,6935 Candle Dr,1 (11) 500 555-0163,Hervey Bay,Queensland,Australia
11045,8,AW00011045,Leonard Nara,1955-11-16,Male,leonard18@adventure-works.com,7466 La Vista Ave.,1 (11) 500 555-0151,Matraville,New South Wales,Australia
11046,6,AW00011046,Christine Yuan,1955-09-19,Female,christine4@adventure-works.com,2356 Orange St,1 (11) 500 555-0113,Lavender Bay,New South Wales,Australia
11047,34,AW00011047,Jaclyn Lu,1955-08-27,Female,jaclyn12@adventure-works.com,2812 Mazatlan,1 (11) 500 555-0137,Geelong,Victoria,Australia
11048,39,AW00011048,Jeremy Powell,1956-05-21,Male,jeremy26@adventure-works.com,1803 Potomac Dr.,1 (11) 500 555-0183,Sunbury,Victoria,Australia
11049,307,AW00011049,Carol Rai,1986-01-15,Female,carol8@adventure-works.com,6064 Madrid,654-555-0180,Chula Vista,California,United States
11050,31,AW00011050,Alan Zheng,1957-03-06,Male,alan23@adventure-works.com,2741 Gainborough Dr.,1 (11) 500 555-0135,Hobart,Tasmania,Australia
11051,21,AW00011051,Daniel Johnson,1957-01-31,Male,daniel18@adventure-works.com,8085 Sunnyvale Avenue,1 (11) 500 555-0155,Caloundra,Queensland,Australia
11052,8,AW00011052,Heidi Lopez,1957-02-03,Female,heidi19@adventure-works.com,2514 Via Cordona,1 (11) 500 555-0168,Matraville,New South Wales,Australia
11053,359,AW00011053,Ana Price,1986-02-17,Female,ana0@adventure-works.com,1660 Stonyhill Circle,859-555-0113,San Diego,California,United States
11054,34,AW00011054,Deanna Munoz,1957-09-07,Female,deanna33@adventure-works.com,5825 B Way,1 (11) 500 555-0192,Geelong,Victoria,Australia
11055,22,AW00011055,Gilbert Raje,1957-09-02,Male,gilbert35@adventure-works.com,8811 The Trees Dr.,1 (11) 500 555-0129,East Brisbane,Queensland,Australia
11056,10,AW00011056,Michele Nath,1958-10-01,Female,michele19@adventure-works.com,5464 Janin Pl.,1 (11) 500 555-0178,Newcastle,New South Wales,Australia
11057,5,AW00011057,Carl Andersen,1970-04-07,Male,carl12@adventure-works.com,6930 Lake Nadine Place,1 (11) 500 555-0181,Lane Cove,New South Wales,Australia
11058,29,AW00011058,Marc Diaz,1965-04-23,Male,marc6@adventure-works.com,6645 Sinaloa,1 (11) 500 555-0149,Findon,South Australia,Australia
11059,27,AW00011059,Ashlee Andersen,1959-09-29,Female,ashlee19@adventure-works.com,8255 Highland Road,1 (11) 500 555-0112,Townsville,Queensland,Australia
11060,40,AW00011060,Jon Zhou,1959-09-14,Male,jon28@adventure-works.com,6574 Hemlock Ave.,1 (11) 500 555-0174,Warrnambool,Victoria,Australia
11061,23,AW00011061,Todd Gao,1976-02-20,Male,todd14@adventure-works.com,8808 Geneva Ave,1 (11) 500 555-0191,Gold Coast,Queensland,Australia
11062,547,AW00011062,Noah Powell,1981-03-01,Male,noah5@adventure-works.com,9794 Marion Ct,767-555-0113,Portland,Oregon,United States
11063,634,AW00011063,Angela Murphy,1980-10-04,Female,angela41@adventure-works.com,4927 Virgil Street,451-555-0162,Redmond,Washington,United States
11064,315,AW00011064,Chase Reed,1981-06-05,Male,chase21@adventure-works.com,2721 Alexander Pl.,892-555-0184,Downey,California,United States
11065,331,AW00011065,Jessica Henderson,1979-04-08,Female,jessica29@adventure-works.com,9343 Ironwood Way,278-555-0186,La Jolla,California,United States
11066,543,AW00011066,Grace Butler,1979-05-27,Female,grace62@adventure-works.com,4739 Garden Ave.,712-555-0141,Lebanon,Oregon,United States
11067,632,AW00011067,Caleb Carter,1982-03-25,Male,caleb40@adventure-works.com,9563 Pennsylvania Blvd.,944-555-0167,Port Orchard,Washington,United States
11068,40,AW00011068,Tiffany Liang,1966-09-19,Female,tiffany17@adventure-works.com,3608 Sinclair Avenue,1 (11) 500 555-0177,Warrnambool,Victoria,Australia
11069,23,AW00011069,Carolyn Navarro,1966-09-17,Female,carolyn30@adventure-works.com,4606 Springwood Court,1 (11) 500 555-0145,Gold Coast,Queensland,Australia
11070,39,AW00011070,Willie Raji,1960-10-02,Male,willie40@adventure-works.com,6260 Vernal Drive,1 (11) 500 555-0151,Sunbury,Victoria,Australia
11071,24,AW00011071,Linda Serrano,1960-12-23,Female,linda31@adventure-works.com,9808 Shaw Rd.,1 (11) 500 555-0130,Hawthorne,Queensland,Australia
11072,17,AW00011072,Casey Luo,1960-08-05,Female,casey6@adventure-works.com,9513 Roslyn Drive,1 (11) 500 555-0125,St. Leonards,New South Wales,Australia
11073,16,AW00011073,Amy Ye,1962-02-11,Female,amy16@adventure-works.com,2262 Kirkwood Ct.,1 (11) 500 555-0185,Springwood,New South Wales,Australia
11074,28,AW00011074,Levi Arun,1962-02-25,Male,levi6@adventure-works.com,4661 Bluetail,1 (11) 500 555-0127,Cloverdale,South Australia,Australia
11075,32,AW00011075,Felicia Jimenez,1963-05-16,Female,felicia4@adventure-works.com,786 Eastgate Ave,1 (11) 500 555-0165,Bendigo,Victoria,Australia
11076,19,AW00011076,Blake Anderson,1963-01-10,Male,blake9@adventure-works.com,5436 Clear,1 (11) 500 555-0113,Wollongong,New South Wales,Australia
11077,36,AW00011077,Leah Ye,1963-03-19,Female,leah7@adventure-works.com,1291 Arguello Blvd.,1 (11) 500 555-0154,Melton,Victoria,Australia
11078,49,AW00011078,Gina Martin,1985-01-06,Female,gina1@adventure-works.com,1349 Sol St.,196-555-0114,Cliffside,British Columbia,Canada
11079,34,AW00011079,Donald Gonzalez,1970-03-07,Male,donald20@adventure-works.com,4236 Malibu Place,1 (11) 500 555-0137,Geelong,Victoria,Australia
11080,30,AW00011080,Damien Chander,1965-01-13,Male,damien32@adventure-works.com,9941 Stonehedge Dr.,1 (11) 500 555-0111,Perth,South Australia,Australia
11081,311,AW00011081,Savannah Baker,1972-01-21,Female,savannah39@adventure-works.com,1210 Trafalgar Circle,478-555-0117,Concord,California,United States
11082,322,AW00011082,Angela Butler,1972-02-01,Female,angela17@adventure-works.com,6040 Listing Ct,579-555-0195,Fremont,California,United States
11083,336,AW00011083,Alyssa Cox,1977-03-11,Female,alyssa37@adventure-works.com,867 La Orinda Place,561-555-0140,Lincoln Acres,California,United States
11084,543,AW00011084,Lucas Phillips,1963-03-12,Male,lucas7@adventure-works.com,8668 St. Celestine Court,863-555-0172,Lebanon,Oregon,United States
11085,345,AW00011085,Emily Johnson,1963-01-16,Female,emily1@adventure-works.com,7926 Stephanie Way,850-555-0184,Newport Beach,California,United States
11086,369,AW00011086,Ryan Brown,1963-06-22,Male,ryan43@adventure-works.com,2939 Wesley Ct.,539-555-0198,Santa Monica,California,United States
11087,307,AW00011087,Tamara Liang,1963-04-02,Female,tamara6@adventure-works.com,3791 Rossmor Parkway,178-555-0152,Chula Vista,California,United States
11088,359,AW00011088,Hunter Davis,1963-05-25,Male,hunter64@adventure-works.com,4308 Sand Pointe Lane,612-555-0141,San Diego,California,United States
11089,337,AW00011089,Abigail Price,1962-08-05,Female,abigail25@adventure-works.com,2685 Blackburn Ct,532-555-0117,Long Beach,California,United States
11090,338,AW00011090,Trevor Bryant,1968-12-13,Male,trevor18@adventure-works.com,5781 Sharon Dr.,853-555-0174,Los Angeles,California,United States
11091,50,AW00011091,Dalton Perez,1962-10-02,Male,dalton37@adventure-works.com,6083 San Jose,559-555-0115,Haney,British Columbia,Canada
11092,22,AW00011092,Cheryl Diaz,1972-11-02,Female,cheryl4@adventure-works.com,7297 Kaywood Drive,1 (11) 500 555-0192,East Brisbane,Queensland,Australia
11093,19,AW00011093,Aimee He,1978-09-06,Female,aimee13@adventure-works.com,1833 Olympic Drive,1 (11) 500 555-0161,Wollongong,New South Wales,Australia
11094,33,AW00011094,Cedric Ma,1967-09-29,Male,cedric15@adventure-works.com,3407 Oak Brook Place,1 (11) 500 555-0115,Cranbourne,Victoria,Australia
11095,13,AW00011095,Chad Kumar,1968-02-29,Male,chad9@adventure-works.com,1681 Lighthouse Way,1 (11) 500 555-0151,Port Macquarie,New South Wales,Australia
11096,12,AW00011096,Andrés Anand,1968-02-07,Male,andrés18@adventure-works.com,5423 Los Gatos Ct.,1 (11) 500 555-0184,North Sydney,New South Wales,Australia
11097,40,AW00011097,Edwin Nara,1972-10-23,Male,edwin39@adventure-works.com,719 William Way,1 (11) 500 555-0112,Warrnambool,Victoria,Australia
11098,14,AW00011098,Mallory Rubio,1966-10-29,Female,mallory7@adventure-works.com,6452 Harris Circle,1 (11) 500 555-0157,Rhodes,New South Wales,Australia
11099,13,AW00011099,Adam Ross,1966-09-05,Male,adam2@adventure-works.com,4378 Westminster Place,1 (11) 500 555-0186,Port Macquarie,New South Wales,Australia
11100,28,AW00011100,Latasha Navarro,1966-03-15,Female,latasha10@adventure-works.com,6954 Ranch Road,1 (11) 500 555-0123,Cloverdale,South Australia,Australia
11101,33,AW00011101,Abby Sai,1970-11-05,Female,abby4@adventure-works.com,7074 N. Spoonwood Court,1 (11) 500 555-0174,Cranbourne,Victoria,Australia
11102,18,AW00011102,Julia Nelson,1970-10-19,Female,julia7@adventure-works.com,2196 Coat Ct.,1 (11) 500 555-0124,Sydney,New South Wales,Australia
11103,3,AW00011103,Cassie Chande,1981-04-12,Female,cassie13@adventure-works.com,9448 San Marino Ct.,1 (11) 500 555-0166,Darlinghurst,New South Wales,Australia
11104,23,AW00011104,Edgar Sara,1975-03-08,Male,edgar11@adventure-works.com,6127 Lilly Lane,1 (11) 500 555-0125,Gold Coast,Queensland,Australia
11105,8,AW00011105,Candace Fernandez,1970-06-27,Female,candace15@adventure-works.com,5029 Blue Ridge,1 (11) 500 555-0162,Matraville,New South Wales,Australia
11106,40,AW00011106,Jessie Liu,1970-03-11,Male,jessie9@adventure-works.com,3063 Blue Jay Drive,1 (11) 500 555-0163,Warrnambool,Victoria,Australia
11107,17,AW00011107,Bianca Lin,1976-03-04,Female,bianca7@adventure-works.com,7530 Eola,1 (11) 500 555-0121,St. Leonards,New South Wales,Australia
11108,13,AW00011108,Kari Alvarez,1969-01-10,Female,kari25@adventure-works.com,9178 Thornhill Place,1 (11) 500 555-0169,Port Macquarie,New South Wales,Australia
11109,38,AW00011109,Ruben Kapoor,1980-04-30,Male,ruben1@adventure-works.com,1984 Glendale Circle,1 (11) 500 555-0132,South Melbourne,Victoria,Australia
11110,3,AW00011110,Curtis Yang,1967-12-04,Male,curtis5@adventure-works.com,4052 Mt. Wilson Way,1 (11) 500 555-0127,Darlinghurst,New South Wales,Australia
11111,34,AW00011111,Meredith Gutierrez,1967-08-23,Female,meredith34@adventure-works.com,7610 Northridge Ct.,1 (11) 500 555-0179,Geelong,Victoria,Australia
11112,25,AW00011112,Crystal Wang,1968-03-08,Female,crystal3@adventure-works.com,2773 Kirkwood Dr,1 (11) 500 555-0134,Hervey Bay,Queensland,Australia
11113,30,AW00011113,Micheal Blanco,1973-02-17,Male,micheal11@adventure-works.com,596 Marfargoa Drive,1 (11) 500 555-0131,Perth,South Australia,Australia
11114,14,AW00011114,Leslie Moreno,1967-11-25,Female,leslie7@adventure-works.com,7941 Cristobal,1 (11) 500 555-0115,Rhodes,New South Wales,Australia
11115,17,AW00011115,Alvin Cai,1967-08-12,Male,alvin20@adventure-works.com,7759 Azalea Avenue,1 (11) 500 555-0191,St. Leonards,New South Wales,Australia
11116,18,AW00011116,Clinton Carlson,1979-04-02,Male,clinton14@adventure-works.com,7943 Cunha Ct.,1 (11) 500 555-0184,Sydney,New South Wales,Australia
11117,8,AW00011117,April Deng,1966-08-21,Female,april1@adventure-works.com,485 Ash Lane,1 (11) 500 555-0182,Matraville,New South Wales,Australia
11118,6,AW00011118,Alvin Zeng,1962-12-31,Male,alvin21@adventure-works.com,3853 Wildcat Circle,1 (11) 500 555-0174,Lavender Bay,New South Wales,Australia
11119,13,AW00011119,Evan James,1940-10-07,Male,evan8@adventure-works.com,4157 Sierra Ridge,1 (11) 500 555-0187,Port Macquarie,New South Wales,Australia
11120,18,AW00011120,Beth Jiménez,1942-02-06,Female,beth8@adventure-works.com,7401 Las Palmas,1 (11) 500 555-0164,Sydney,New South Wales,Australia
11121,10,AW00011121,Orlando Suarez,1966-05-18,Male,orlando19@adventure-works.com,7743 Hames Dr,1 (11) 500 555-0198,Newcastle,New South Wales,Australia
11122,12,AW00011122,Byron Vazquez,1965-09-30,Male,byron9@adventure-works.com,3187 Hackamore Lane,1 (11) 500 555-0136,North Sydney,New South Wales,Australia
11123,39,AW00011123,Philip Alvarez,1965-12-18,Male,philip4@adventure-works.com,2775 Mt. Olivet Pl.,1 (11) 500 555-0191,Sunbury,Victoria,Australia
11124,40,AW00011124,Ross Jordan,1968-07-23,Male,ross1@adventure-works.com,6973 Dublin Court,1 (11) 500 555-0126,Warrnambool,Victoria,Australia
11125,37,AW00011125,Dana Navarro,1961-10-06,Female,dana2@adventure-works.com,8481 Zartop Street,1 (11) 500 555-0172,Seaford,Victoria,Australia
11126,11,AW00011126,Shaun Carson,1954-10-05,Male,shaun16@adventure-works.com,57 Wolf Way,1 (11) 500 555-0155,North Ryde,New South Wales,Australia
11127,361,AW00011127,Jan Edwards,1981-04-19,Female,jan11@adventure-works.com,9409 The Alameda,111-555-0118,San Gabriel,California,United States
11128,635,AW00011128,Samantha Long,1981-06-03,Female,samantha35@adventure-works.com,1606 Alderwood Lane,175-555-0139,Renton,Washington,United States
11129,638,AW00011129,Julia Wright,1981-02-01,Female,julia17@adventure-works.com,7397 Central Blvd.,456-555-0174,Sedro Woolley,Washington,United States
11130,543,AW00011130,Caroline Russell,1985-07-05,Female,caroline21@adventure-works.com,3884 Bates Court,424-555-0137,Lebanon,Oregon,United States
11131,50,AW00011131,Amanda Rivera,1985-09-09,Female,amanda7@adventure-works.com,9573 Royal Oak Rd.,918-555-0126,Haney,British Columbia,Canada
11132,51,AW00011132,Melissa Richardson,1986-04-25,Female,melissa31@adventure-works.com,6832 Fruitwood Dr,928-555-0118,Langford,British Columbia,Canada
11133,542,AW00011133,Angela Griffin,1986-03-08,Female,angela23@adventure-works.com,3828 Baltic Sea Ct,598-555-0174,Lake Oswego,Oregon,United States
11134,30,AW00011134,Larry Townsend,1957-02-22,Male,larry14@adventure-works.com,7034 Carson,1 (11) 500 555-0130,Perth,South Australia,Australia
11135,302,AW00011135,Marcus Harris,1985-05-02,Male,marcus14@adventure-works.com,9068 Quiet Place Drive,442-555-0119,Burlingame,California,United States
11136,53,AW00011136,Brianna Morgan,1984-04-24,Female,brianna30@adventure-works.com,9005 Eagle Ct.,954-555-0117,Metchosin,British Columbia,Canada
11137,641,AW00011137,Jasmine Taylor,1984-01-17,Female,jasmine7@adventure-works.com,2457 Matterhorn Court,557-555-0146,Spokane,Washington,United States
11138,325,AW00011138,Lauren Davis,1984-03-14,Female,lauren23@adventure-works.com,8105 Pembrook Court,832-555-0121,Glendale,California,United States
11139,28,AW00011139,Tanya Moreno,1949-11-05,Female,tanya2@adventure-works.com,6155 Wilbur Drive,1 (11) 500 555-0185,Cloverdale,South Australia,Australia
11140,301,AW00011140,Javier Alvarez,1982-08-11,Male,javier1@adventure-works.com,8935 Etcheverry Dr.,763-555-0134,Burbank,California,United States
11141,314,AW00011141,Nicole Ramirez,1982-12-19,Female,nicole42@adventure-works.com,1101 C Street,152-555-0162,Daly City,California,United States
11142,51,AW00011142,Eduardo Patterson,1983-02-11,Male,eduardo55@adventure-works.com,6255 Macalvey Dr.,190-555-0184,Langford,British Columbia,Canada
11143,334,AW00011143,Jonathan Henderson,1982-08-04,Male,jonathan4@adventure-works.com,165 East Lane Road,149-555-0113,Lakewood,California,United States
11144,607,AW00011144,Edward Hernandez,1985-03-08,Male,edward48@adventure-works.com,7607 Pine Hollow Road,178-555-0196,Ballard,Washington,United States
11145,536,AW00011145,Jasmine Coleman,1985-06-06,Female,jasmine46@adventure-works.com,1961 Oak Grove Road,857-555-0115,Beaverton,Oregon,United States
11146,8,AW00011146,Karla Goel,1945-02-22,Female,karla20@adventure-works.com,3272 Corrie Lane,1 (11) 500 555-0137,Matraville,New South Wales,Australia
11147,40,AW00011147,Ernest Wu,1944-08-04,Male,ernest6@adventure-works.com,1832 RiverRock Dr,1 (11) 500 555-0139,Warrnambool,Victoria,Australia
11148,22,AW00011148,Ross Vazquez,1947-02-13,Male,ross32@adventure-works.com,1201 Paso Del Rio Way,1 (11) 500 555-0163,East Brisbane,Queensland,Australia
11149,25,AW00011149,Theodore Gill,1946-10-18,Male,theodore14@adventure-works.com,9120 Pinewood Court,1 (11) 500 555-0194,Hervey Bay,Queensland,Australia
11150,39,AW00011150,Russell Shen,1946-09-12,Male,russell6@adventure-works.com,4755 Easley Drive,1 (11) 500 555-0191,Sunbury,Victoria,Australia
11151,18,AW00011151,Melinda Gill,1947-08-25,Female,melinda9@adventure-works.com,805 Rainier Dr.,1 (11) 500 555-0117,Sydney,New South Wales,Australia
11152,633,AW00011152,James Williams,1981-07-09,Male,james77@adventure-works.com,6827 Seagull Court,355-555-0153,Puyallup,Washington,United States
11153,635,AW00011153,Angela James,1981-12-21,Female,angela34@adventure-works.com,8877 Weatherly Drive,847-555-0111,Renton,Washington,United States
11154,553,AW00011154,Megan Walker,1982-02-18,Female,megan25@adventure-works.com,6898 Holiday Hills,918-555-0186,Woodburn,Oregon,United States
11155,301,AW00011155,Hunter Robinson,1981-07-25,Male,hunter50@adventure-works.com,8356 Mori Court,891-555-0125,Burbank,California,United States
11156,334,AW00011156,Maria Roberts,1981-08-06,Female,maria47@adventure-works.com,9452 Mariposa Ct.,158-555-0199,Lakewood,California,United States
11157,642,AW00011157,Hannah Long,1980-12-08,Female,hannah32@adventure-works.com,1832 Preston Ct.,974-555-0177,Tacoma,Washington,United States
11158,361,AW00011158,Jason Wright,1981-04-06,Male,jason46@adventure-works.com,6771 Bundros Court,694-555-0176,San Gabriel,California,United States
11159,385,AW00011159,Brianna Hughes,1981-03-16,Female,brianna57@adventure-works.com,6793 Bonifacio St.,319-555-0183,Woodland Hills,California,United States
11160,311,AW00011160,Maurice Tang,1979-07-08,Male,maurice4@adventure-works.com,2886 Chaparral Court,947-555-0172,Concord,California,United States
11161,311,AW00011161,Emily Wood,1979-10-20,Female,emily27@adventure-works.com,1562 Black Walnut,184-555-0114,Concord,California,United States
11162,331,AW00011162,Chase Cox,1979-09-02,Male,chase10@adventure-works.com,P.O. Box 8070,764-555-0116,La Jolla,California,United States
11163,372,AW00011163,Gabriel Wang,1980-06-18,Male,gabriel21@adventure-works.com,8002 Crane Court,617-555-0150,Spring Valley,California,United States
11164,374,AW00011164,Devin Brooks,1979-11-02,Male,devin63@adventure-works.com,4231 Highland Dr.,502-555-0138,Torrance,California,United States
11165,348,AW00011165,Jocelyn Alexander,1979-01-15,Female,jocelyn18@adventure-works.com,3376 Bank Way,354-555-0134,Oakland,California,United States
11166,631,AW00011166,Ashley Martinez,1977-10-22,Female,ashley18@adventure-works.com,6993 Whyte Park Ave.,131-555-0194,Olympia,Washington,United States
11167,618,AW00011167,Jasmine Barnes,1978-01-29,Female,jasmine43@adventure-works.com,9183 Via Del Sol,178-555-0156,Issaquah,Washington,United States
11168,348,AW00011168,David Rodriguez,1973-11-12,Male,david83@adventure-works.com,38 Shangri-la Rd.,730-555-0128,Oakland,California,United States
11169,312,AW00011169,Bryce Richardson,1973-12-20,Male,bryce8@adventure-works.com,1841 Blackwood Drive,178-555-0176,Coronado,California,United States
11170,612,AW00011170,Carol Howard,1973-08-04,Female,carol5@adventure-works.com,6281 Edward Ave,845-555-0127,Burien,Washington,United States
11171,385,AW00011171,Jonathan Hill,1978-10-05,Male,jonathan43@adventure-works.com,3731 Chinquapin Ct,134-555-0196,Woodland Hills,California,United States
11172,626,AW00011172,Gabrielle Adams,1973-05-20,Female,gabrielle58@adventure-works.com,5621 Arcadia Pl.,403-555-0152,Lynnwood,Washington,United States
11173,552,AW00011173,Sarah Thomas,1973-02-28,Female,sarah13@adventure-works.com,5636 Mt. Whitney Dr.,868-555-0188,W. Linn,Oregon,United States
11174,338,AW00011174,Nicholas Robinson,1973-01-09,Male,nicholas19@adventure-works.com,1318 Lasalle Street,949-555-0138,Los Angeles,California,United States
11175,300,AW00011175,Luis Wang,1968-09-01,Male,luis24@adventure-works.com,6943 Patterson Blvd.,418-555-0127,Beverly Hills,California,United States
11176,50,AW00011176,Mason Roberts,1979-01-21,Male,mason25@adventure-works.com,5753 Megan Dr.,539-555-0162,Haney,British Columbia,Canada
11177,359,AW00011177,Jose Flores,1948-01-01,Male,jose6@adventure-works.com,3991 Rambling Rose Drive,157-555-0182,San Diego,California,United States
